epoch,mIoU,step,train/batches,train/device/batches_per_sec,train/device/samples_per_sec,train/samples,train/time,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step,validate/batches,validate/device/batches_per_sec,validate/device/samples_per_sec,validate/samples,validate/time
,,333,,,,,,,,,0.5590072870254517,,,,,
,,334,,,,,,,,,0.24894317984580994,,,,,
,,335,,,,,,,,,0.32260772585868835,,,,,
,,336,,,,,,,,,0.4767910838127136,,,,,
,,337,,,,,,,,,0.3353300094604492,,,,,
,,338,,,,,,,,,0.6508514285087585,,,,,
,,339,,,,,,,,,0.4519163966178894,,,,,
,,340,,,,,,,,,0.281375527381897,,,,,
,,341,,,,,,,,,0.43696433305740356,,,,,
,,342,,,,,,,,,0.17748968303203583,,,,,
,,343,,,,,,,,,0.25256675481796265,,,,,
,,344,,,,,,,,,0.40834808349609375,,,,,
,,345,,,,,,,,,0.3813972771167755,,,,,
,,346,,,,,,,,,0.2860969007015228,,,,,
,,347,,,,,,,,,0.39912378787994385,,,,,
,,348,,,,,,,,,0.4520943760871887,,,,,
,,350,,,,,,,,,,350,4.347543937606503,4.347543937606503,350,81.93771202117205
,,349,,,,,,,,,0.6458277702331543,,,,,
,,350,,,,,,,,,0.30817288160324097,,,,,
,,351,,,,,,,,,0.3159864544868469,,,,,
,,352,,,,,,,,,0.7897672057151794,,,,,
,,353,,,,,,,,,0.28151318430900574,,,,,
,,354,,,,,,,,,0.25317150354385376,,,,,
,,355,,,,,,,,,0.424122154712677,,,,,
,,356,,,,,,,,,0.43561774492263794,,,,,
,,357,,,,,,,,,0.4442424774169922,,,,,
,,358,,,,,,,,,0.5104776620864868,,,,,
,,359,,,,,,,,,0.44015201926231384,,,,,
,,360,,,,,,,,,1.0284168720245361,,,,,
,,361,,,,,,,,,1.415174961090088,,,,,
,,362,,,,,,,,,0.6371748447418213,,,,,
,,363,,,,,,,,,0.20704074203968048,,,,,
,,364,,,,,,,,,0.6560736894607544,,,,,
,,365,,,,,,,,,0.33932921290397644,,,,,
,,366,,,,,,,,,0.9097433090209961,,,,,
,,367,,,,,,,,,0.28707244992256165,,,,,
,,368,,,,,,,,,0.31128209829330444,,,,,
,,369,,,,,,,,,0.3498658537864685,,,,,
,,370,,,,,,,,,0.4157872498035431,,,,,
,,371,,,,,,,,,0.39165446162223816,,,,,
,,372,,,,,,,,,0.7296186089515686,,,,,
,,373,,,,,,,,,0.5712514519691467,,,,,
,,374,,,,,,,,,0.6555954813957214,,,,,
,,375,,,,,,,,,0.3734806776046753,,,,,
,,376,,,,,,,,,0.4588067829608917,,,,,
,,377,,,,,,,,,0.5248383283615112,,,,,
,,378,,,,,,,,,0.5752623677253723,,,,,
,,379,,,,,,,,,0.5815172791481018,,,,,
,,380,,,,,,,,,0.33329707384109497,,,,,
,,381,,,,,,,,,0.5686044096946716,,,,,
,,382,,,,,,,,,0.43308746814727783,,,,,
,,383,,,,,,,,,0.48769697546958923,,,,,
,,384,,,,,,,,,0.36180394887924194,,,,,
,,385,,,,,,,,,0.908464789390564,,,,,
,,386,,,,,,,,,0.5960183143615723,,,,,
,,387,,,,,,,,,0.47198861837387085,,,,,
,,388,,,,,,,,,0.7850655317306519,,,,,
